time(UTC),ID,lat,lon,depth[m_local],east_shift[m_local],north_shift[m_local],magnitude,P_residual[s],S_residual[s],n_pairs,ndiff_p,ndiff_s
2024-04-03T19:19:32.851,49,38.50114,-112.88308,2374.85,987.19,-225.34,-0.31,0.08,0.08,2890,10832,29581
2024-04-03T19:20:15.094,50,38.50221,-112.88307,2475.85,988.24,-106.14,-0.67,0.1,0.08,2868,10246,26604
2024-04-03T19:22:00.365,51,38.50152,-112.88301,2349.85,993.37,-183.02,-0.39,0.21,0.14,2851,9131,30736
2024-04-03T19:24:53.482,52,38.49969,-112.8842,2487.85,889.1,-386.73,-0.5,0.09,0.08,2923,8935,29474
2024-04-03T19:25:31.669,53,38.49972,-112.88398,2468.85,908.31,-383.4,-0.64,0.09,0.08,2876,10061,28928
2024-04-03T19:25:49.101,54,38.50173,-112.88295,2435.85,998.64,-159.62,-0.87,0.08,0.07,2922,10774,28088
2024-04-03T19:32:20.895,55,38.50211,-112.88303,2457.85,991.72,-117.29,-0.98,0.09,0.08,2853,9566,24130
2024-04-03T19:32:27.374,56,38.50235,-112.88305,2477.85,990.01,-90.54,-0.92,0.12,0.08,2863,11511,26599
2024-04-03T19:34:25.459,57,38.50128,-112.88295,2358.85,998.56,-209.75,-0.34,0.09,0.08,2931,12444,32757
2024-04-03T19:34:51.547,58,38.49995,-112.88394,2468.85,911.86,-357.81,-0.85,0.12,0.07,2891,9342,27877
2024-04-03T19:35:31.566,59,38.49987,-112.88415,2481.85,893.52,-366.71,-0.88,0.1,0.08,2907,7503,28678
2024-04-03T19:35:39.196,60,38.50114,-112.88308,2365.85,987.19,-225.34,-0.79,0.09,0.08,2904,11523,31236
2024-04-03T19:35:45.615,61,38.49999,-112.88379,2498.85,924.97,-353.36,-0.77,0.12,0.08,2875,10626,29607
2024-04-03T19:36:23.402,62,38.50031,-112.88395,2477.85,911.08,-317.75,-0.05,0.08,0.08,2935,10387,32135
2024-04-03T19:36:43.217,63,38.50145,-112.88299,2376.85,995.1,-190.81,-0.55,0.09,0.1,2906,11608,33008
2024-04-03T19:38:09.013,64,38.50145,-112.88299,2376.85,995.1,-190.81,-0.34,0.11,0.08,2893,11617,33096
2024-04-03T19:38:15.268,65,38.50059,-112.88299,2367.85,994.92,-286.59,-0.56,0.1,0.08,2892,9208,32453
2024-04-03T19:39:34.166,66,38.49986,-112.88403,2462.85,903.99,-367.82,-0.83,0.1,0.07,2879,14079,24351
2024-04-03T19:39:43.909,67,38.50092,-112.88295,2362.85,998.49,-249.84,0.05,0.33,0.08,2926,11978,33701
2024-04-03T19:41:00.641,68,38.5014,-112.88299,2376.85,995.09,-196.38,-0.04,0.1,0.08,2929,13321,34302
2024-04-03T19:42:37.331,69,38.50107,-112.88292,2344.85,1001.14,-233.14,-0.97,0.11,0.09,2856,11011,26588
2024-04-03T19:44:22.783,70,38.50114,-112.88308,2374.85,987.19,-225.34,-0.29,0.09,0.08,2924,12800,33590
2024-04-03T19:44:43.240,71,38.50078,-112.88295,2361.85,998.46,-265.43,-0.45,0.11,0.08,2886,12236,33157
2024-04-03T19:45:58.563,72,38.50072,-112.88297,2371.85,996.7,-272.11,-0.93,0.14,0.08,2852,5688,30341
2024-04-03T19:49:38.492,73,38.50063,-112.88395,2483.85,911.16,-282.12,-0.67,0.12,0.08,2849,9271,29931
2024-04-03T19:49:55.076,74,38.50063,-112.88395,2476.85,911.16,-282.12,-0.5,0.1,0.07,2883,10923,31436
2024-04-03T19:51:56.460,75,38.50158,-112.88287,2402.85,1005.6,-176.33,-0.48,0.09,0.08,2866,8304,32706
2024-04-03T19:53:10.037,76,38.50221,-112.88307,2475.85,988.24,-106.14,-0.72,0.1,0.08,2878,10673,27213
2024-04-03T19:53:47.896,77,38.50083,-112.88295,2362.85,998.47,-259.86,0.1,0.11,0.08,2924,11820,34396
2024-04-03T19:55:33.191,78,38.50107,-112.88295,2355.85,998.52,-233.14,-0.35,0.1,0.08,2939,11454,32350
2024-04-03T19:56:14.656,79,38.50223,-112.88324,2494.85,973.42,-103.92,-0.48,0.08,0.08,2909,14701,31128
2024-04-03T19:56:26.359,80,38.5013,-112.88311,2394.85,984.6,-207.52,-0.58,0.09,0.08,2934,12575,29922
2024-04-03T19:58:41.230,81,38.50209,-112.88342,2517.85,957.69,-119.52,-0.83,0.12,0.08,2872,15327,27006
2024-04-03T19:59:15.254,82,38.50074,-112.88296,2355.85,997.58,-269.89,-0.92,0.1,0.08,2859,8180,30836
2024-04-03T19:59:19.001,83,38.50146,-112.88293,2369.85,1000.34,-189.7,0.06,0.09,0.08,2883,10236,33228
2024-04-03T20:03:11.378,84,38.49986,-112.88403,2462.85,903.99,-367.82,-1,0.11,0.07,2876,12561,23327
2024-04-03T20:04:27.866,85,38.50218,-112.88324,2503.85,973.41,-109.49,-0.74,0.08,0.08,2897,13323,27353
2024-04-03T20:04:31.809,86,38.5008,-112.883,2342.85,994.1,-263.21,-0.92,0.12,0.08,2849,10723,28962
2024-04-03T20:04:40.870,87,38.50059,-112.88299,2367.85,994.92,-286.59,-0.3,0.09,0.08,2890,9239,34054
2024-04-03T20:04:45.449,88,38.5009,-112.88314,2428.85,981.9,-252.07,-0.93,0.1,0.08,2807,6578,27130
